gene_name,in_ncg,in_civic,external_source_count,external_sources,max_external_evidence_score,consensus_label,consensus_confidence,high_confidence_label
ITGAV,True,False,1,NCG,1.0,1,single_source_positive,
RRAS2,True,True,2,NCG;CIViC,1.0,1,high_confidence_positive,1.0
MYO9A,True,False,1,NCG,1.0,1,single_source_positive,
ATP6V0A1,False,False,0,,0.0,0,negative_candidate,0.0
ASIC3,False,False,0,,0.0,0,negative_candidate,0.0
NPAT,False,False,0,,0.0,0,negative_candidate,0.0
LY6D,False,False,0,,0.0,0,negative_candidate,0.0
LGI3,False,False,0,,0.0,0,negative_candidate,0.0
UCK2,False,False,0,,0.0,0,negative_candidate,0.0
OTX2,False,False,0,,0.0,0,negative_candidate,0.0
WDFY3,True,False,1,NCG,1.0,1,single_source_positive,
IRF6,True,False,1,NCG,1.0,1,single_source_positive,
TIAM2,False,False,0,,0.0,0,negative_candidate,0.0
GATAD1,True,False,1,NCG,1.0,1,single_source_positive,
POLB,False,False,0,,0.0,0,negative_candidate,0.0
PROX1,False,False,0,,0.0,0,negative_candidate,0.0
PIP5K1C,False,False,0,,0.0,0,negative_candidate,0.0
DHRS2,False,False,0,,0.0,0,negative_candidate,0.0
TACR1,False,False,0,,0.0,0,negative_candidate,0.0
ZYG11B,False,False,0,,0.0,0,negative_candidate,0.0
CFDP1,False,False,0,,0.0,0,negative_candidate,0.0
PEX16,True,False,1,NCG,1.0,1,single_source_positive,
RASSF9,False,False,0,,0.0,0,negative_candidate,0.0
IFIT5,False,False,0,,0.0,0,negative_candidate,0.0
ZSCAN22,False,False,0,,0.0,0,negative_candidate,0.0
POP5,False,False,0,,0.0,0,negative_candidate,0.0
RITA1,False,False,0,,0.0,0,negative_candidate,0.0
DDA1,False,False,0,,0.0,0,negative_candidate,0.0
BMS1,False,False,0,,0.0,0,negative_candidate,0.0
OSGIN2,False,False,0,,0.0,0,negative_candidate,0.0
TRPT1,False,False,0,,0.0,0,negative_candidate,0.0
AMHR2,False,False,0,,0.0,0,negative_candidate,0.0
SLC25A20,False,False,0,,0.0,0,negative_candidate,0.0
ZNF169,False,False,0,,0.0,0,negative_candidate,0.0
ADAM22,True,False,1,NCG,1.0,1,single_source_positive,
KNOP1,False,False,0,,0.0,0,negative_candidate,0.0
ATF1,True,True,2,NCG;CIViC,1.0,1,high_confidence_positive,1.0
IGHV1-58,False,False,0,,0.0,0,negative_candidate,0.0
EMC2,False,False,0,,0.0,0,negative_candidate,0.0
ANKRD27,False,False,0,,0.0,0,negative_candidate,0.0
GMCL1,False,False,0,,0.0,0,negative_candidate,0.0
CIB4,False,False,0,,0.0,0,negative_candidate,0.0
PC,False,False,0,,0.0,0,negative_candidate,0.0
GSDME,True,False,1,NCG,1.0,1,single_source_positive,
CYP2A7,True,False,1,NCG,1.0,1,single_source_positive,
OR14A16,False,False,0,,0.0,0,negative_candidate,0.0
DCAF12L1,False,False,0,,0.0,0,negative_candidate,0.0
RUBCN,False,False,0,,0.0,0,negative_candidate,0.0
PDHX,False,False,0,,0.0,0,negative_candidate,0.0
HTATSF1,False,False,0,,0.0,0,negative_candidate,0.0
GRM7,False,False,0,,0.0,0,negative_candidate,0.0
CDK11B,False,False,0,,0.0,0,negative_candidate,0.0
CEL,False,False,0,,0.0,0,negative_candidate,0.0
IRX1,False,False,0,,0.0,0,negative_candidate,0.0
TBC1D20,False,False,0,,0.0,0,negative_candidate,0.0
COL14A1,True,False,1,NCG,1.0,1,single_source_positive,
PELO,False,False,0,,0.0,0,negative_candidate,0.0
MED4,False,False,0,,0.0,0,negative_candidate,0.0
PLD2,False,False,0,,0.0,0,negative_candidate,0.0
ZDHHC8,False,False,0,,0.0,0,negative_candidate,0.0
KCMF1,False,False,0,,0.0,0,negative_candidate,0.0
DIRAS2,False,False,0,,0.0,0,negative_candidate,0.0
NCBP1,True,False,1,NCG,1.0,1,single_source_positive,
USB1,False,False,0,,0.0,0,negative_candidate,0.0
AMMECR1L,False,False,0,,0.0,0,negative_candidate,0.0
CMTM4,False,False,0,,0.0,0,negative_candidate,0.0
DOCK7,False,False,0,,0.0,0,negative_candidate,0.0
CDH22,False,False,0,,0.0,0,negative_candidate,0.0
PIR,False,False,0,,0.0,0,negative_candidate,0.0
IGSF3,False,False,0,,0.0,0,negative_candidate,0.0
TFAM,False,False,0,,0.0,0,negative_candidate,0.0
LMX1B,False,False,0,,0.0,0,negative_candidate,0.0
MINPP1,False,False,0,,0.0,0,negative_candidate,0.0
CR1,True,False,1,NCG,1.0,1,single_source_positive,
SLC35B3,False,False,0,,0.0,0,negative_candidate,0.0
TBC1D13,True,False,1,NCG,1.0,1,single_source_positive,
C19ORF54,False,False,0,,0.0,0,negative_candidate,0.0
HPS6,False,False,0,,0.0,0,negative_candidate,0.0
RFX7,True,True,2,NCG;CIViC,1.0,1,high_confidence_positive,1.0
TMEM184C,False,False,0,,0.0,0,negative_candidate,0.0
TDRD9,False,False,0,,0.0,0,negative_candidate,0.0
IGKV1D-12,False,False,0,,0.0,0,negative_candidate,0.0
CNTNAP4,False,False,0,,0.0,0,negative_candidate,0.0
S1PR3,False,False,0,,0.0,0,negative_candidate,0.0
MED21,False,False,0,,0.0,0,negative_candidate,0.0
ZNF703,False,True,1,CIViC,0.9,1,single_source_positive,
PPIAL4G,True,False,1,NCG,1.0,1,single_source_positive,
LARP4B,True,False,1,NCG,1.0,1,single_source_positive,
ETHE1,False,False,0,,0.0,0,negative_candidate,0.0
SPAG11B,False,False,0,,0.0,0,negative_candidate,0.0
TXNDC16,False,False,0,,0.0,0,negative_candidate,0.0
ZNF510,False,False,0,,0.0,0,negative_candidate,0.0
B3GALT6,True,False,1,NCG,1.0,1,single_source_positive,
CD3E,False,False,0,,0.0,0,negative_candidate,0.0
CD58,True,True,2,NCG;CIViC,1.0,1,high_confidence_positive,1.0
NELFCD,False,False,0,,0.0,0,negative_candidate,0.0
PUS1,False,False,0,,0.0,0,negative_candidate,0.0
ZNF324B,False,False,0,,0.0,0,negative_candidate,0.0
FCF1,True,False,1,NCG,1.0,1,single_source_positive,
ACVR1C,False,False,0,,0.0,0,negative_candidate,0.0
CT45A1,False,False,0,,0.0,0,negative_candidate,0.0
C5ORF38,False,False,0,,0.0,0,negative_candidate,0.0
TMEM222,False,False,0,,0.0,0,negative_candidate,0.0
OR51E2,False,False,0,,0.0,0,negative_candidate,0.0
TRIM65,False,False,0,,0.0,0,negative_candidate,0.0
TRGV2,False,False,0,,0.0,0,negative_candidate,0.0
ZNF98,False,False,0,,0.0,0,negative_candidate,0.0
ETNK1,True,False,1,NCG,1.0,1,single_source_positive,
SLC35D1,False,False,0,,0.0,0,negative_candidate,0.0
TRMT1,False,False,0,,0.0,0,negative_candidate,0.0
TMEM39A,False,False,0,,0.0,0,negative_candidate,0.0
HPX,False,False,0,,0.0,0,negative_candidate,0.0
NAALADL1,False,False,0,,0.0,0,negative_candidate,0.0
SLC39A14,False,False,0,,0.0,0,negative_candidate,0.0
RCVRN,False,False,0,,0.0,0,negative_candidate,0.0
H3C10,True,False,1,NCG,1.0,1,single_source_positive,
DTX3,False,False,0,,0.0,0,negative_candidate,0.0
IRS2,True,True,2,NCG;CIViC,1.0,1,high_confidence_positive,1.0
ROPN1L,False,False,0,,0.0,0,negative_candidate,0.0
RNF121,False,False,0,,0.0,0,negative_candidate,0.0
CDCA7L,False,False,0,,0.0,0,negative_candidate,0.0
TCN1,False,False,0,,0.0,0,negative_candidate,0.0
COMMD8,False,False,0,,0.0,0,negative_candidate,0.0
RPUSD1,False,False,0,,0.0,0,negative_candidate,0.0
MDM2,True,True,2,NCG;CIViC,1.0,1,high_confidence_positive,1.0
MINDY1,False,False,0,,0.0,0,negative_candidate,0.0
RNF141,False,False,0,,0.0,0,negative_candidate,0.0
ARL4A,False,False,0,,0.0,0,negative_candidate,0.0
GOLGB1,True,False,1,NCG,1.0,1,single_source_positive,
FBXO8,False,False,0,,0.0,0,negative_candidate,0.0
WWP1,True,False,1,NCG,1.0,1,single_source_positive,
TRPM2,True,False,1,NCG,1.0,1,single_source_positive,
CFHR4,False,False,0,,0.0,0,negative_candidate,0.0
RNF41,False,False,0,,0.0,0,negative_candidate,0.0
GTF2IRD2B,False,False,0,,0.0,0,negative_candidate,0.0
RNF138,False,False,0,,0.0,0,negative_candidate,0.0
TLR4,True,False,1,NCG,1.0,1,single_source_positive,
GYPE,False,False,0,,0.0,0,negative_candidate,0.0
NACA2,False,False,0,,0.0,0,negative_candidate,0.0
CASP8AP2,False,False,0,,0.0,0,negative_candidate,0.0
ARL16,False,False,0,,0.0,0,negative_candidate,0.0
NUDT16,False,False,0,,0.0,0,negative_candidate,0.0
TBX21,False,False,0,,0.0,0,negative_candidate,0.0
NOSIP,False,False,0,,0.0,0,negative_candidate,0.0
C1ORF94,False,False,0,,0.0,0,negative_candidate,0.0
RALGAPB,False,False,0,,0.0,0,negative_candidate,0.0
SLC39A12,True,False,1,NCG,1.0,1,single_source_positive,
CARTPT,False,False,0,,0.0,0,negative_candidate,0.0
OTOR,False,False,0,,0.0,0,negative_candidate,0.0
PLEKHM3,True,False,1,NCG,1.0,1,single_source_positive,
TMEM19,False,False,0,,0.0,0,negative_candidate,0.0
DEF8,False,False,0,,0.0,0,negative_candidate,0.0
RNF185,True,False,1,NCG,1.0,1,single_source_positive,
ABRAXAS2,False,False,0,,0.0,0,negative_candidate,0.0
REM1,True,False,1,NCG,1.0,1,single_source_positive,
GREM1,False,False,0,,0.0,0,negative_candidate,0.0
CFAP20DC,False,False,0,,0.0,0,negative_candidate,0.0
PI4K2A,False,False,0,,0.0,0,negative_candidate,0.0
ATP7B,False,True,1,CIViC,0.9,1,single_source_positive,
MFSD8,False,False,0,,0.0,0,negative_candidate,0.0
MAPRE2,False,False,0,,0.0,0,negative_candidate,0.0
SDCBP2,False,False,0,,0.0,0,negative_candidate,0.0
OAS2,False,False,0,,0.0,0,negative_candidate,0.0
PSG2,False,False,0,,0.0,0,negative_candidate,0.0
C6ORF15,False,False,0,,0.0,0,negative_candidate,0.0
AK5,False,False,0,,0.0,0,negative_candidate,0.0
BCL10,True,True,2,NCG;CIViC,1.0,1,high_confidence_positive,1.0
ACAP2,False,False,0,,0.0,0,negative_candidate,0.0
UQCC2,False,False,0,,0.0,0,negative_candidate,0.0
SLC17A3,False,False,0,,0.0,0,negative_candidate,0.0
STK32B,False,False,0,,0.0,0,negative_candidate,0.0
CD8B,False,False,0,,0.0,0,negative_candidate,0.0
DUSP14,False,False,0,,0.0,0,negative_candidate,0.0
CDK5,False,True,1,CIViC,0.9,1,single_source_positive,
SHISA2,False,False,0,,0.0,0,negative_candidate,0.0
NR1D2,True,False,1,NCG,1.0,1,single_source_positive,
MAIP1,False,False,0,,0.0,0,negative_candidate,0.0
GMEB2,False,False,0,,0.0,0,negative_candidate,0.0
CMIP,False,False,0,,0.0,0,negative_candidate,0.0
RAB38,False,False,0,,0.0,0,negative_candidate,0.0
EID2,False,False,0,,0.0,0,negative_candidate,0.0
ITGAD,False,False,0,,0.0,0,negative_candidate,0.0
SLC19A2,False,False,0,,0.0,0,negative_candidate,0.0
SLC16A1,False,False,0,,0.0,0,negative_candidate,0.0
EPC2,False,False,0,,0.0,0,negative_candidate,0.0
PLG,False,False,0,,0.0,0,negative_candidate,0.0
PFKM,False,False,0,,0.0,0,negative_candidate,0.0
METTL16,False,False,0,,0.0,0,negative_candidate,0.0
PDGFA,False,False,0,,0.0,0,negative_candidate,0.0
SIX3,False,False,0,,0.0,0,negative_candidate,0.0
CETP,False,False,0,,0.0,0,negative_candidate,0.0
IQCN,False,False,0,,0.0,0,negative_candidate,0.0
ATG3,True,False,1,NCG,1.0,1,single_source_positive,
PCDHB12,False,False,0,,0.0,0,negative_candidate,0.0
DHRS9,False,False,0,,0.0,0,negative_candidate,0.0
TRMT2A,False,False,0,,0.0,0,negative_candidate,0.0
DKKL1,False,False,0,,0.0,0,negative_candidate,0.0
KRTAP5-1,False,False,0,,0.0,0,negative_candidate,0.0
DBR1,True,False,1,NCG,1.0,1,single_source_positive,
IMPACT,False,False,0,,0.0,0,negative_candidate,0.0
CDC42EP3,False,False,0,,0.0,0,negative_candidate,0.0
SLC29A2,True,False,1,NCG,1.0,1,single_source_positive,
NPHS1,False,False,0,,0.0,0,negative_candidate,0.0
ZRANB3,True,False,1,NCG,1.0,1,single_source_positive,
RCN2,False,False,0,,0.0,0,negative_candidate,0.0
SUOX,False,False,0,,0.0,0,negative_candidate,0.0
KIAA0895L,False,False,0,,0.0,0,negative_candidate,0.0
TRAPPC4,False,False,0,,0.0,0,negative_candidate,0.0
NOXA1,True,False,1,NCG,1.0,1,single_source_positive,
HBP1,False,False,0,,0.0,0,negative_candidate,0.0
UGDH,False,False,0,,0.0,0,negative_candidate,0.0
ISCA1,False,False,0,,0.0,0,negative_candidate,0.0
HMSD,False,False,0,,0.0,0,negative_candidate,0.0
PTPRE,False,False,0,,0.0,0,negative_candidate,0.0
CHMP6,False,False,0,,0.0,0,negative_candidate,0.0
MAP2K4,True,True,2,NCG;CIViC,1.0,1,high_confidence_positive,1.0
YJU2,False,False,0,,0.0,0,negative_candidate,0.0
GPR19,False,False,0,,0.0,0,negative_candidate,0.0
FRMPD1,False,False,0,,0.0,0,negative_candidate,0.0
RBMX2,True,False,1,NCG,1.0,1,single_source_positive,
NSRP1,True,False,1,NCG,1.0,1,single_source_positive,
OTUD4,False,False,0,,0.0,0,negative_candidate,0.0
TFDP1,True,False,1,NCG,1.0,1,single_source_positive,
GLP1R,False,False,0,,0.0,0,negative_candidate,0.0
ARMS2,False,False,0,,0.0,0,negative_candidate,0.0
APPL2,False,False,0,,0.0,0,negative_candidate,0.0
DYNC1H1,False,False,0,,0.0,0,negative_candidate,0.0
SLC4A1AP,False,False,0,,0.0,0,negative_candidate,0.0
DMTN,False,False,0,,0.0,0,negative_candidate,0.0
PARVA,False,False,0,,0.0,0,negative_candidate,0.0
POP4,False,False,0,,0.0,0,negative_candidate,0.0
OPRL1,False,False,0,,0.0,0,negative_candidate,0.0
ZNF236,False,False,0,,0.0,0,negative_candidate,0.0
SBNO1,False,False,0,,0.0,0,negative_candidate,0.0
TEX11,False,False,0,,0.0,0,negative_candidate,0.0
FAM168A,False,False,0,,0.0,0,negative_candidate,0.0
CXCR2,True,False,1,NCG,1.0,1,single_source_positive,
SENP6,False,False,0,,0.0,0,negative_candidate,0.0
AMY2A,False,False,0,,0.0,0,negative_candidate,0.0
CCNDBP1,False,False,0,,0.0,0,negative_candidate,0.0
CYTH2,False,False,0,,0.0,0,negative_candidate,0.0
CREB5,False,False,0,,0.0,0,negative_candidate,0.0
GTF2A1,False,False,0,,0.0,0,negative_candidate,0.0
VIPAS39,True,False,1,NCG,1.0,1,single_source_positive,
MICAL3,False,False,0,,0.0,0,negative_candidate,0.0
MARCHF9,False,False,0,,0.0,0,negative_candidate,0.0
MID2,False,False,0,,0.0,0,negative_candidate,0.0
TMEM161A,False,False,0,,0.0,0,negative_candidate,0.0
AP4E1,False,False,0,,0.0,0,negative_candidate,0.0
WIPI1,False,False,0,,0.0,0,negative_candidate,0.0
FZD5,False,False,0,,0.0,0,negative_candidate,0.0
RNF38,False,False,0,,0.0,0,negative_candidate,0.0
ALG11,False,False,0,,0.0,0,negative_candidate,0.0
NEURL2,False,False,0,,0.0,0,negative_candidate,0.0
HGFAC,False,False,0,,0.0,0,negative_candidate,0.0
NR4A2,True,True,2,NCG;CIViC,1.0,1,high_confidence_positive,1.0
ANKS1A,False,False,0,,0.0,0,negative_candidate,0.0
TBC1D12,True,False,1,NCG,1.0,1,single_source_positive,
NIPA1,False,False,0,,0.0,0,negative_candidate,0.0
ASB9,True,False,1,NCG,1.0,1,single_source_positive,
PHAX,True,False,1,NCG,1.0,1,single_source_positive,
POLR1A,False,False,0,,0.0,0,negative_candidate,0.0
PCNX4,True,False,1,NCG,1.0,1,single_source_positive,
CBX6,True,False,1,NCG,1.0,1,single_source_positive,
IGHG4,False,False,0,,0.0,0,negative_candidate,0.0
RILP,False,False,0,,0.0,0,negative_candidate,0.0
PSD,False,False,0,,0.0,0,negative_candidate,0.0
DDX27,True,False,1,NCG,1.0,1,single_source_positive,
LARGE1,False,False,0,,0.0,0,negative_candidate,0.0
CISD1,False,False,0,,0.0,0,negative_candidate,0.0
GPA33,False,False,0,,0.0,0,negative_candidate,0.0
MAGEE1,False,False,0,,0.0,0,negative_candidate,0.0
P2RX7,False,False,0,,0.0,0,negative_candidate,0.0
CWC25,False,False,0,,0.0,0,negative_candidate,0.0
LRIT3,False,False,0,,0.0,0,negative_candidate,0.0
TPRKB,False,False,0,,0.0,0,negative_candidate,0.0
PPP1R3D,False,False,0,,0.0,0,negative_candidate,0.0
PAFAH2,False,False,0,,0.0,0,negative_candidate,0.0
ARHGEF3,True,False,1,NCG,1.0,1,single_source_positive,
ZMYM2,True,True,2,NCG;CIViC,1.0,1,high_confidence_positive,1.0
SPAG5,False,False,0,,0.0,0,negative_candidate,0.0
CSPP1,False,False,0,,0.0,0,negative_candidate,0.0
PIFO,False,False,0,,0.0,0,negative_candidate,0.0
PLEKHB1,False,False,0,,0.0,0,negative_candidate,0.0
ZFAND2B,False,False,0,,0.0,0,negative_candidate,0.0
CDYL2,False,False,0,,0.0,0,negative_candidate,0.0
FOSL1,False,False,0,,0.0,0,negative_candidate,0.0
CH25H,False,False,0,,0.0,0,negative_candidate,0.0
DVL2,False,False,0,,0.0,0,negative_candidate,0.0
IL13,False,False,0,,0.0,0,negative_candidate,0.0
APOL4,False,False,0,,0.0,0,negative_candidate,0.0
KRT39,False,False,0,,0.0,0,negative_candidate,0.0
ZFYVE27,False,False,0,,0.0,0,negative_candidate,0.0
ARMC10,False,False,0,,0.0,0,negative_candidate,0.0
CUL3,True,True,2,NCG;CIViC,1.0,1,high_confidence_positive,1.0
TBL3,False,False,0,,0.0,0,negative_candidate,0.0
HMGCLL1,False,False,0,,0.0,0,negative_candidate,0.0
ZNF618,False,False,0,,0.0,0,negative_candidate,0.0
TRIM55,False,False,0,,0.0,0,negative_candidate,0.0
SYCP2,False,False,0,,0.0,0,negative_candidate,0.0
RPS6KL1,False,False,0,,0.0,0,negative_candidate,0.0
GCH1,False,False,0,,0.0,0,negative_candidate,0.0
MCUR1,False,False,0,,0.0,0,negative_candidate,0.0
OMA1,True,False,1,NCG,1.0,1,single_source_positive,
SLC23A3,False,False,0,,0.0,0,negative_candidate,0.0
ASB8,False,False,0,,0.0,0,negative_candidate,0.0
SGCB,False,False,0,,0.0,0,negative_candidate,0.0
LEFTY1,False,False,0,,0.0,0,negative_candidate,0.0
DOK5,False,False,0,,0.0,0,negative_candidate,0.0
USP12,False,False,0,,0.0,0,negative_candidate,0.0
GALNT6,False,False,0,,0.0,0,negative_candidate,0.0
GLI2,False,False,0,,0.0,0,negative_candidate,0.0
PTGS2,False,True,1,CIViC,0.9,1,single_source_positive,
RAB29,False,False,0,,0.0,0,negative_candidate,0.0
ZBTB2,False,False,0,,0.0,0,negative_candidate,0.0
TPTE2,True,False,1,NCG,1.0,1,single_source_positive,
UQCC1,False,False,0,,0.0,0,negative_candidate,0.0
DROSHA,True,True,2,NCG;CIViC,1.0,1,high_confidence_positive,1.0
ADAM2,True,False,1,NCG,1.0,1,single_source_positive,
TXNL4A,False,False,0,,0.0,0,negative_candidate,0.0
MAFG,False,False,0,,0.0,0,negative_candidate,0.0
NQO2,False,False,0,,0.0,0,negative_candidate,0.0
ARL4D,False,False,0,,0.0,0,negative_candidate,0.0
CMTM7,False,False,0,,0.0,0,negative_candidate,0.0
ESRP1,False,False,0,,0.0,0,negative_candidate,0.0
RPA3,False,False,0,,0.0,0,negative_candidate,0.0
CABYR,False,False,0,,0.0,0,negative_candidate,0.0
LURAP1L,False,False,0,,0.0,0,negative_candidate,0.0
RSAD2,False,False,0,,0.0,0,negative_candidate,0.0
KCNJ6,False,False,0,,0.0,0,negative_candidate,0.0
SVOPL,False,False,0,,0.0,0,negative_candidate,0.0
RPUSD2,False,False,0,,0.0,0,negative_candidate,0.0
OXTR,False,False,0,,0.0,0,negative_candidate,0.0
C12ORF4,False,False,0,,0.0,0,negative_candidate,0.0
ZMYND19,False,False,0,,0.0,0,negative_candidate,0.0
MAB21L4,False,False,0,,0.0,0,negative_candidate,0.0
PCGF5,False,False,0,,0.0,0,negative_candidate,0.0
ALDH3A1,False,False,0,,0.0,0,negative_candidate,0.0
CACNA1G,False,False,0,,0.0,0,negative_candidate,0.0
ABITRAM,False,False,0,,0.0,0,negative_candidate,0.0
CYSLTR2,True,True,2,NCG;CIViC,1.0,1,high_confidence_positive,1.0
AAAS,False,False,0,,0.0,0,negative_candidate,0.0
LEO1,False,False,0,,0.0,0,negative_candidate,0.0
RNLS,False,False,0,,0.0,0,negative_candidate,0.0
SLC4A10,True,False,1,NCG,1.0,1,single_source_positive,
DENND1B,False,False,0,,0.0,0,negative_candidate,0.0
ZNF76,False,False,0,,0.0,0,negative_candidate,0.0
TMEM223,False,False,0,,0.0,0,negative_candidate,0.0
LEMD3,True,False,1,NCG,1.0,1,single_source_positive,
SUMF1,False,False,0,,0.0,0,negative_candidate,0.0
ALDOC,False,False,0,,0.0,0,negative_candidate,0.0
SOX6,False,False,0,,0.0,0,negative_candidate,0.0
RAB3GAP2,False,False,0,,0.0,0,negative_candidate,0.0
EDNRA,False,False,0,,0.0,0,negative_candidate,0.0
SECISBP2L,False,False,0,,0.0,0,negative_candidate,0.0
ABCB11,False,False,0,,0.0,0,negative_candidate,0.0
LIPJ,False,False,0,,0.0,0,negative_candidate,0.0
RIN1,False,False,0,,0.0,0,negative_candidate,0.0
BTNL3,True,False,1,NCG,1.0,1,single_source_positive,
OSCP1,False,False,0,,0.0,0,negative_candidate,0.0
LRRC36,False,False,0,,0.0,0,negative_candidate,0.0
COPG2,False,False,0,,0.0,0,negative_candidate,0.0
ZWILCH,True,False,1,NCG,1.0,1,single_source_positive,
FGD1,False,False,0,,0.0,0,negative_candidate,0.0
GMNN,False,False,0,,0.0,0,negative_candidate,0.0
NUP58,False,False,0,,0.0,0,negative_candidate,0.0
RHBDD3,False,False,0,,0.0,0,negative_candidate,0.0
HAGH,False,False,0,,0.0,0,negative_candidate,0.0
GRIA4,False,False,0,,0.0,0,negative_candidate,0.0
GTF2H3,False,False,0,,0.0,0,negative_candidate,0.0
FIGN,False,False,0,,0.0,0,negative_candidate,0.0
RAB2B,False,False,0,,0.0,0,negative_candidate,0.0
LYSMD2,False,False,0,,0.0,0,negative_candidate,0.0
RYBP,True,False,1,NCG,1.0,1,single_source_positive,
APPBP2,False,False,0,,0.0,0,negative_candidate,0.0
TSPEAR,True,False,1,NCG,1.0,1,single_source_positive,
CYB5D2,False,False,0,,0.0,0,negative_candidate,0.0
HCAR2,False,False,0,,0.0,0,negative_candidate,0.0
PDIA2,False,False,0,,0.0,0,negative_candidate,0.0
SEL1L,False,False,0,,0.0,0,negative_candidate,0.0
EID3,False,False,0,,0.0,0,negative_candidate,0.0
HSH2D,False,False,0,,0.0,0,negative_candidate,0.0
CLCN2,False,False,0,,0.0,0,negative_candidate,0.0
PDCL2,False,False,0,,0.0,0,negative_candidate,0.0
ERICH1,False,False,0,,0.0,0,negative_candidate,0.0
NIPSNAP3A,False,False,0,,0.0,0,negative_candidate,0.0
FAM187B,False,False,0,,0.0,0,negative_candidate,0.0
COMMD4,False,False,0,,0.0,0,negative_candidate,0.0
LGR5,False,True,1,CIViC,0.9,1,single_source_positive,
MARCHF11,True,False,1,NCG,1.0,1,single_source_positive,
GINS2,False,False,0,,0.0,0,negative_candidate,0.0
FAM110A,False,False,0,,0.0,0,negative_candidate,0.0
GNAL,False,False,0,,0.0,0,negative_candidate,0.0
BID,False,False,0,,0.0,0,negative_candidate,0.0
RPP25,False,False,0,,0.0,0,negative_candidate,0.0
RGS4,False,False,0,,0.0,0,negative_candidate,0.0
CDH16,False,False,0,,0.0,0,negative_candidate,0.0
C16ORF72,False,False,0,,0.0,0,negative_candidate,0.0
GCA,False,False,0,,0.0,0,negative_candidate,0.0
PSG11,False,False,0,,0.0,0,negative_candidate,0.0
CASP8,True,True,2,NCG;CIViC,1.0,1,high_confidence_positive,1.0
RIT1,True,True,2,NCG;CIViC,1.0,1,high_confidence_positive,1.0
VWA3A,False,False,0,,0.0,0,negative_candidate,0.0
ZNF570,False,False,0,,0.0,0,negative_candidate,0.0
EXOC5,False,False,0,,0.0,0,negative_candidate,0.0
OSBPL6,False,False,0,,0.0,0,negative_candidate,0.0
LOXL1,False,False,0,,0.0,0,negative_candidate,0.0
GPR15,False,False,0,,0.0,0,negative_candidate,0.0
KCNH7,False,False,0,,0.0,0,negative_candidate,0.0
RALYL,True,False,1,NCG,1.0,1,single_source_positive,
C8ORF82,False,False,0,,0.0,0,negative_candidate,0.0
RRP8,False,False,0,,0.0,0,negative_candidate,0.0
SLC2A2,False,False,0,,0.0,0,negative_candidate,0.0
BMF,False,False,0,,0.0,0,negative_candidate,0.0
ZNF786,False,False,0,,0.0,0,negative_candidate,0.0
SSX3,False,False,0,,0.0,0,negative_candidate,0.0
TRHDE,True,False,1,NCG,1.0,1,single_source_positive,
UBE2S,False,False,0,,0.0,0,negative_candidate,0.0
CAND2,False,False,0,,0.0,0,negative_candidate,0.0
RAB22A,False,False,0,,0.0,0,negative_candidate,0.0
TIMM29,False,False,0,,0.0,0,negative_candidate,0.0
IFT74,False,False,0,,0.0,0,negative_candidate,0.0
PRB2,True,False,1,NCG,1.0,1,single_source_positive,
LYSMD3,False,False,0,,0.0,0,negative_candidate,0.0
SH3TC2,False,False,0,,0.0,0,negative_candidate,0.0
GRID2,False,False,0,,0.0,0,negative_candidate,0.0
RP2,False,False,0,,0.0,0,negative_candidate,0.0
MYB,True,True,2,NCG;CIViC,1.0,1,high_confidence_positive,1.0
TULP1,False,False,0,,0.0,0,negative_candidate,0.0
ERVW-1,False,False,0,,0.0,0,negative_candidate,0.0
ZNF765,True,False,1,NCG,1.0,1,single_source_positive,
TSPYL1,True,True,2,NCG;CIViC,1.0,1,high_confidence_positive,1.0
PLEKHG6,False,False,0,,0.0,0,negative_candidate,0.0
CTXN3,False,False,0,,0.0,0,negative_candidate,0.0
ZFYVE19,False,False,0,,0.0,0,negative_candidate,0.0
UPF3B,False,False,0,,0.0,0,negative_candidate,0.0
MRPS9,False,False,0,,0.0,0,negative_candidate,0.0
OTUD6B,False,False,0,,0.0,0,negative_candidate,0.0
FAM118B,True,False,1,NCG,1.0,1,single_source_positive,
RNF113B,False,False,0,,0.0,0,negative_candidate,0.0
KRBA1,False,False,0,,0.0,0,negative_candidate,0.0
ISOC1,False,False,0,,0.0,0,negative_candidate,0.0
GRSF1,True,False,1,NCG,1.0,1,single_source_positive,
RAD1,False,False,0,,0.0,0,negative_candidate,0.0
ACTL6B,True,False,1,NCG,1.0,1,single_source_positive,
CNOT7,False,False,0,,0.0,0,negative_candidate,0.0
GDF6,False,False,0,,0.0,0,negative_candidate,0.0
DMGDH,False,False,0,,0.0,0,negative_candidate,0.0
TDRP,False,False,0,,0.0,0,negative_candidate,0.0
ITGA8,False,False,0,,0.0,0,negative_candidate,0.0
LNX1,False,False,0,,0.0,0,negative_candidate,0.0
COG7,False,False,0,,0.0,0,negative_candidate,0.0
CHCHD4,False,False,0,,0.0,0,negative_candidate,0.0
GLCE,False,False,0,,0.0,0,negative_candidate,0.0
OXGR1,False,False,0,,0.0,0,negative_candidate,0.0
RCE1,False,False,0,,0.0,0,negative_candidate,0.0
LRPPRC,False,False,0,,0.0,0,negative_candidate,0.0
RABEPK,True,False,1,NCG,1.0,1,single_source_positive,
KRT9,False,False,0,,0.0,0,negative_candidate,0.0
